name,popularity,duration_ms,artist,artists_list,release_date,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist_name,artist_popularity,artist_followers,artist_genres,music_file
Higher Power,73,211295,Coldplay,Coldplay,2021-05-07,0.00711,0.507,0.828,2.44e-05,10,0.261,-6.023,1,0.0449,178.032,4,0.489,Coldplay,85,47803752,"['permanent wave', 'pop']",1. Coldplay - Higher Power (128).wav
Kiss Me More (feat. SZA),83,208667,Doja Cat,"Doja Cat, SZA",2021-06-25,0.259,0.764,0.705,8.92e-05,8,0.12,-3.463,1,0.0284,110.97,4,0.781,Doja Cat,87,27056797,"['dance pop', 'pop']","1. Doja Cat, SZA - Kiss Me More (feat. SZA) (128).wav"
What's Next,56,178154,Drake,Drake,2021-03-05,0.0125,0.777,0.58,0.0,0,0.161,-6.928,0,0.0525,129.918,4,0.0636,Drake,95,81345795,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",1. Drake - What s Next (128).wav
i n t e r l u d e,69,133022,J. Cole,J. Cole,2021-05-14,0.0617,0.77,0.574,0.0,1,0.104,-5.525,1,0.106,98.962,3,0.104,J. Cole,84,21778723,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",1. J. Cole - i n t e r l u d e (128).wav
September,63,220891,James Arthur,James Arthur,2021-06-11,0.147,0.641,0.551,0.0,9,0.12,-6.165,1,0.0532,102.912,4,0.417,James Arthur,79,14141626,"['pop', 'talent show', 'uk pop']",1. James Arthur - September (128).wav
Chemtrails Over The Country Club,81,271177,Lana Del Rey,Lana Del Rey,2021-03-19,0.877,0.334,0.276,0.000249,4,0.113,-13.125,0,0.0643,201.025,3,0.429,Lana Del Rey,88,29276034,"['art pop', 'pop']",1. Lana Del Rey - Chemtrails Over The Country Club (128).wav
Sobrio,76,201181,Maluma,Maluma,2021-07-08,0.138,0.762,0.77,0.0,5,0.15,-2.758,1,0.223,177.998,4,0.631,Maluma,83,34427112,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",1. Maluma - Sobrio (128).wav
All The Ways,50,175223,Meghan Trainor,Meghan Trainor,2018-06-21,0.0188,0.624,0.65,0.0,11,0.0687,-3.786,0,0.032,112.074,4,0.366,Meghan Trainor,74,14121696,"['hip pop', 'pop']",1. Meghan Trainor - All The Ways (128).wav
Life Goes On,78,161803,Oliver Tree,Oliver Tree,2021-05-28,0.186,0.7,0.49,0.0,0,0.117,-5.187,1,0.076,79.982,4,0.569,Oliver Tree,71,2361006,['alternative hip hop'],1. Oliver Tree - Life Goes On (128).wav
Todo De Ti,79,199604,Rauw Alejandro,Rauw Alejandro,2021-05-20,0.31,0.78,0.718,0.000163,3,0.0932,-3.605,0,0.0506,127.949,4,0.342,Rauw Alejandro,85,19134712,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",1. Rauw Alejandro - Todo De Ti (128).wav
10 Freaky Girls (with 21 Savage),80,208293,Metro Boomin,"Metro Boomin,21 Savage",2018-11-06,0.588,0.81,0.353,0.0,6,0.102,-9.931,0,0.31,88.031,4,0.0727,Metro Boomin,85,5947390,['rap'],10 Freaky Girls - Metro Boomin 21 Savage (128).wav
10:35,82,172253,Tiësto,"Tiësto,Tate McRae",2022-11-03,0.0683,0.696,0.793,3.78e-06,8,0.18,-5.733,1,0.097,120.003,4,0.698,Tiësto,80,7136303,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']",1035 - Tiësto Tate McRae (128).wav
10:35,78,172253,Tiësto,"Tiësto, Tate McRae",2023-04-21,0.0683,0.696,0.793,3.78e-06,8,0.18,-5.733,1,0.097,120.003,4,0.698,Tiësto,80,7136303,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']",1035 - Tiësto Tate McRae (128).wav
Shockwave,65,181283,Marshmello,Marshmello,2021-06-11,0.0231,0.577,0.875,4.69e-06,9,0.111,-2.897,0,0.0681,164.009,4,0.411,Marshmello,80,35035483,"['brostep', 'edm', 'pop', 'progressive electro house']",12. Marshmello - Shockwave (128).wav
Happier Than Ever,87,298899,Billie Eilish,Billie Eilish,2021-07-30,0.767,0.332,0.225,0.00349,0,0.128,-8.697,1,0.0348,81.055,3,0.297,Billie Eilish,86,88246007,"['art pop', 'pop']",15. Billie Eilish - Happier Than Ever (128).wav
a m a r i,76,148421,J. Cole,J. Cole,2021-05-14,0.127,0.725,0.713,0.0,4,0.617,-6.173,0,0.187,65.988,4,0.207,J. Cole,84,21778723,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",2. J. Cole - a m a r i (128).wav
The Way Life Goes (feat. Oh Wonder),82,221747,Lil Uzi Vert,"Lil Uzi Vert,Oh Wonder",2017-08-25,0.617,0.703,0.757,0.0,1,0.106,-3.612,1,0.05,82.008,4,0.696,Lil Uzi Vert,83,16109052,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap']","2. Lil Uzi Vert, Oh Wonder - The Way Life Goes (feat. Oh Won.wav"
20 Min,85,220587,Lil Uzi Vert,Lil Uzi Vert,2017-11-17,0.109,0.773,0.75,0.0,8,0.174,-4.009,0,0.117,123.426,4,0.783,Lil Uzi Vert,83,16109052,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap']",20 Min - Lil Uzi Vert (128).wav
My Universe,80,226198,BTS,"Coldplay, BTS",2021-10-15,0.0114,0.573,0.711,0.0,1,0.328,-6.268,0,0.0406,105.006,4,0.47,BTS,85,70618128,"['k-pop', 'k-pop boy group', 'pop']",20 Min - Lil Uzi Vert (128).wav
See You Again (feat. Charlie Puth),85,229526,Charlie Puth,"Wiz Khalifa, Charlie Puth",2015,0.369,0.689,0.481,1.03e-06,10,0.0649,-7.503,1,0.0815,80.025,4,0.283,Charlie Puth,79,21620546,"['pop', 'viral pop']","20. Wiz Khalifa, Charlie Puth - See You Again (feat. Charlie.wav"
2step (feat. Lil Baby),68,163450,Ed Sheeran,"Ed Sheeran,Lil Baby",2022-04-22,0.138,0.693,0.643,0.0,4,0.108,-5.867,0,0.0828,95.055,4,0.477,Ed Sheeran,86,115073470,"['pop', 'singer-songwriter pop', 'uk pop']",2step (feat. Lil Baby) - Ed Sheeran Lil Baby (128).wav
Wants and Needs (feat. Lil Baby),58,194090,Drake,"Drake,Lil Baby",2021-03-05,0.0574,0.588,0.412,7.96e-06,7,0.114,-7.397,0,0.329,136.068,4,0.121,Drake,95,81345795,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2step (feat. Lil Baby) - Ed Sheeran Lil Baby (128).wav
Fame - A COLORS ENCORE,65,111074,Rema,Rema,2020-05-21,0.0249,0.926,0.497,0.0,1,0.0909,-10.821,0,0.206,121.002,4,0.55,Rema,76,3401997,"['afrobeats', 'nigerian pop']",4. Rema - Fame - A COLORS ENCORE (128).wav
4:44,74,284493,JAY-Z,JAY-Z,2017-07-07,0.139,0.261,0.852,4.26e-05,9,0.477,-4.965,1,0.158,177.997,4,0.431,JAY-Z,81,8684627,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",444 - Jay-Z (128).wav
5% TINT,81,196138,Travis Scott,Travis Scott,2018-08-03,0.173,0.712,0.481,0.0,4,0.241,-5.415,0,0.0487,140.0,4,0.062,Travis Scott,90,24895140,"['hip hop', 'rap', 'slap house']",5% TINT - Travis Scott (128).wav
Oxytocin,65,210233,Billie Eilish,Billie Eilish,2021-07-30,0.091,0.756,0.595,0.547,11,0.148,-7.761,1,0.0587,124.938,4,0.174,Billie Eilish,86,88246007,"['art pop', 'pop']",5. Billie Eilish - Oxytocin (128).wav
I Lived,77,234547,OneRepublic,OneRepublic,2013-01-01,0.0683,0.593,0.851,0.0,9,0.271,-5.456,1,0.0446,119.987,4,0.344,OneRepublic,80,16390313,"['piano rock', 'pop']",5. OneRepublic - I Lived (128).wav
505,82,253587,Arctic Monkeys,Arctic Monkeys,2007-04-24,0.00237,0.52,0.852,5.79e-05,0,0.0733,-5.866,1,0.0543,140.267,4,0.234,Arctic Monkeys,84,22135935,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",505 - Arctic Monkeys (128).wav
Glitter,55,256480,070 Shake,070 Shake,2018-03-23,0.557,0.672,0.622,3.48e-06,4,0.0959,-10.108,0,0.143,108.052,4,0.375,070 Shake,69,494115,['new jersey rap'],6. 070 Shake - Glitter (128).wav
Satellite,59,208362,Bebe Rexha,"Bebe Rexha,Snoop Dogg",2023-04-20,0.00441,0.673,0.848,0.0,5,0.143,-4.037,1,0.043,115.961,4,0.771,Bebe Rexha,77,8608960,"['dance pop', 'pop']",6. 070 Shake - Glitter (128).wav
7 rings,86,178627,Ariana Grande,Ariana Grande,2019-02-08,0.592,0.778,0.317,0.0,1,0.0881,-10.732,0,0.334,140.048,4,0.327,Ariana Grande,85,94489318,['pop'],7 rings - Ariana Grande (128).wav
You Right,69,186173,Doja Cat,"Doja Cat,The Weeknd",2021-06-24,0.0164,0.828,0.621,0.00233,8,0.0845,-6.414,1,0.0565,128.986,4,0.436,Doja Cat,87,27056797,"['dance pop', 'pop']","8. Doja Cat, The Weeknd - You Right (128).wav"
You Right,83,186173,Doja Cat,"Doja Cat,The Weeknd",2021-06-25,0.0164,0.828,0.621,0.00233,8,0.0845,-6.414,1,0.0565,128.986,4,0.436,Doja Cat,87,27056797,"['dance pop', 'pop']","8. Doja Cat, The Weeknd - You Right (128).wav"
happier,87,175933,Olivia Rodrigo,Olivia Rodrigo,2021-05-21,0.765,0.395,0.443,9.67e-06,6,0.0839,-9.72,1,0.133,168.924,3,0.338,Olivia Rodrigo,87,29516782,['pop'],8. Olivia Rodrigo - happier (128).wav
8TEEN,77,228600,Khalid,Khalid,2017-04-27,0.225,0.83,0.585,0.00209,1,0.0576,-5.802,1,0.0366,105.03,4,0.642,Khalid,81,16167554,"['pop', 'pop r&b']",8TEEN - Khalid (128).wav
Sensualidad,74,297485,Bad Bunny,"Bad Bunny,Prince Royce,J Balvin,Mambo Kingz,DJ Luian",2017-11-03,0.423,0.807,0.681,0.0,11,0.0962,-6.268,1,0.0983,140.006,4,0.676,Bad Bunny,96,76065976,"['reggaeton', 'trap latino', 'urbano latino']",8TEEN - Khalid (128).wav
Who Wants To Live Forever - Remastered 2011,65,295333,Queen,Queen,1991-10-28,0.544,0.182,0.388,0.00134,4,0.114,-8.672,0,0.0324,139.276,4,0.0392,Queen,81,48677298,"['classic rock', 'glam rock', 'rock']",9. Queen - Who Wants To Live Forever (128).wav
A Little Death,71,209707,The Neighbourhood,The Neighbourhood,2012-12-18,0.0026,0.53,0.763,1.86e-06,6,0.105,-4.712,0,0.0332,88.013,4,0.338,The Neighbourhood,81,14128852,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie']",A Little Death - The Neighbourhood (128).wav
